ID,util,times30dpd,dti,bad
11707,"66,20%",0,"14,00%",0
11708,"74,60%",1,"10,00%",0
11709,"14,00%",0,"13,00%",0
11710,"39,30%",0,"11,00%",0
11711,"72,20%",0,"32,00%",0
11712,"38,80%",0,"34,00%",0
11713,"92,10%",1,"21,00%",0
11714,"49,90%",0,"6,00%",0
11715,"77,70%",1,"27,00%",0
11716,"41,20%",1,"22,00%",1
11717,"48,00%",1,"29,00%",0
11718,"14,90%",1,"35,00%",1
11719,"20,20%",2,"24,00%",0
11720,"11,80%",0,"20,00%",0
11721,"21,00%",0,"10,00%",1
11722,"78,00%",1,"45,00%",0
11723,"39,50%",1,"16,00%",1
11724,"77,40%",1,"47,00%",0
11725,"15,30%",1,"43,00%",0
11726,"36,00%",4,"24,00%",0
11727,"26,60%",0,"31,00%",0
11728,"51,90%",1,"64,00%",1
11729,"13,20%",1,"18,00%",0
11730,"81,60%",2,"26,00%",1
11731,"36,30%",0,"44,00%",0
11732,"0,20%",0,"30,00%",0
11733,"13,20%",0,"43,00%",0
11734,"74,60%",4,"42,00%",1
11735,"70,40%",0,"27,00%",0
11736,"14,00%",0,"46,00%",0
11737,"64,60%",0,"26,00%",0
11738,"62,20%",0,"11,00%",0
11739,"14,10%",1,"40,00%",0
11740,"23,40%",0,"25,00%",0
11741,"3,80%",1,"13,00%",0
11742,"15,20%",0,"6,00%",0
11743,"6,20%",0,"22,00%",0
11744,"70,80%",0,"28,00%",0
11745,"4,50%",1,"34,00%",0
11746,"44,30%",1,"6,00%",0
11747,"44,70%",0,"33,00%",0
11748,"5,90%",0,"35,00%",0
11749,"37,60%",1,"19,00%",0
11750,"0,00%",0,"31,00%",0
11751,"48,20%",2,"55,00%",1
11752,"61,80%",0,"27,00%",0
11753,"61,50%",0,"35,00%",0
11754,"76,70%",0,"13,00%",0
11755,"72,50%",0,"22,00%",0
11756,"73,70%",1,"16,00%",0
11757,"85,80%",3,"40,00%",1
11758,"53,60%",1,"39,00%",1
11759,"9,10%",0,"5,00%",0
11760,"13,60%",0,"27,00%",0
11761,"48,60%",0,"8,00%",0
11762,"27,40%",0,"1,00%",0
11763,"6,40%",0,"18,00%",0
11764,"34,50%",0,"21,00%",0
11765,"5,00%",0,"20,00%",0
11766,"75,80%",0,"20,00%",0
11767,"48,30%",1,"15,00%",0
11768,"78,90%",2,"45,00%",1
11769,"21,20%",0,"16,00%",0
11770,"68,00%",1,"46,00%",0
11771,"5,50%",1,"12,00%",0
11772,"64,60%",0,"50,00%",0
11773,"37,80%",0,"26,00%",0
11774,"34,50%",0,"11,00%",0
11775,"36,30%",0,"35,00%",0
11776,"60,60%",0,"35,00%",0
11777,"63,80%",3,"39,00%",1
11778,"40,40%",0,"30,00%",0
11779,"9,70%",0,"1,00%",0
11780,"9,90%",0,"57,00%",1
11781,"60,20%",1,"12,00%",0
11782,"70,20%",3,"20,00%",1
11783,"56,70%",1,"13,00%",1
11784,"8,60%",2,"41,00%",1
11785,"84,10%",3,"32,00%",1
11786,"82,50%",0,"31,00%",0
11787,"26,60%",0,"22,00%",0
11788,"35,30%",0,"32,00%",0
11789,"85,80%",2,"21,00%",1
11790,"58,10%",2,"29,00%",0
11791,"36,00%",1,"39,00%",0
11792,"54,00%",0,"3,00%",0
11793,"73,90%",1,"29,00%",0
11794,"69,60%",5,"55,00%",1
11795,"65,60%",0,"18,00%",0
11796,"39,30%",0,"3,00%",0
11797,"17,80%",0,"20,00%",0
11798,"19,40%",1,"8,00%",0
11799,"80,40%",2,"35,00%",0
11800,"12,30%",0,"31,00%",0
11801,"46,90%",0,"3,00%",0
11802,"2,90%",1,"18,00%",0
11803,"39,10%",1,"38,00%",1
11804,"40,70%",0,"18,00%",1
11805,"1,40%",3,"12,00%",0
11806,"39,90%",0,"22,00%",0
11807,"48,20%",0,"21,00%",0
11808,"30,90%",0,"8,00%",0
11809,"2,80%",0,"10,00%",0
11810,"72,20%",2,"29,00%",0
11811,"60,50%",2,"43,00%",1
11812,"17,10%",0,"14,00%",0
11813,"3,30%",0,"7,00%",0
11814,"16,10%",0,"45,00%",1
11815,"18,70%",0,"9,00%",0
11816,"51,10%",2,"25,00%",0
11817,"7,30%",0,"57,00%",0
11818,"8,40%",0,"15,00%",0
11819,"6,10%",1,"32,00%",0
11820,"42,80%",0,"22,00%",0
11821,"41,20%",0,"3,00%",0
11822,"3,70%",0,"40,00%",0
11823,"14,50%",0,"13,00%",0
11824,"50,20%",4,"28,00%",0
11825,"23,10%",0,"6,00%",0
11826,"50,80%",2,"33,00%",1
11827,"19,30%",0,"17,00%",0
11828,"5,00%",0,"21,00%",0
11829,"87,90%",2,"6,00%",0
11830,"43,30%",1,"46,00%",0
11831,"85,00%",2,"27,00%",1
11832,"7,10%",0,"48,00%",1
11833,"81,10%",1,"35,00%",1
11834,"62,00%",3,"13,00%",0
11835,"85,80%",1,"24,00%",0
11836,"47,20%",3,"46,00%",0
11837,"20,70%",1,"31,00%",0
11838,"52,50%",2,"45,00%",0
11839,"92,00%",3,"63,00%",1
11840,"73,90%",1,"9,00%",0
11841,"8,70%",0,"25,00%",1
11842,"29,00%",2,"5,00%",0
11843,"63,00%",0,"18,00%",0
11844,"4,70%",0,"4,00%",0
11845,"29,90%",0,"5,00%",0
11846,"68,90%",2,"16,00%",0
11847,"11,90%",2,"45,00%",1
11848,"44,40%",2,"33,00%",1
11849,"51,00%",0,"21,00%",0
11850,"14,90%",1,"38,00%",0
11851,"41,30%",0,"6,00%",0
11852,"18,90%",0,"12,00%",0
11853,"22,90%",1,"35,00%",0
11854,"12,40%",0,"42,00%",0
11855,"5,90%",0,"23,00%",0
11856,"55,80%",2,"30,00%",1
11857,"21,70%",0,"27,00%",0
11858,"10,30%",2,"6,00%",0
11859,"0,50%",0,"2,00%",0
11860,"47,10%",2,"54,00%",0
11861,"59,70%",1,"62,00%",1
11862,"78,30%",0,"11,00%",0
11863,"59,80%",2,"10,00%",0
11864,"36,10%",3,"13,00%",1
11865,"4,00%",0,"12,00%",0
11866,"44,70%",0,"7,00%",0
11867,"19,50%",1,"29,00%",0
11868,"80,10%",2,"43,00%",0
11869,"32,80%",0,"16,00%",0
11870,"5,80%",0,"20,00%",0
11871,"16,10%",0,"45,00%",0
11872,"40,50%",4,"14,00%",1
11873,"36,10%",1,"28,00%",0
11874,"16,30%",1,"6,00%",0
11875,"16,60%",0,"36,00%",0
11876,"30,40%",0,"57,00%",0
11877,"93,10%",1,"41,00%",0
11878,"14,70%",0,"21,00%",0
11879,"20,90%",0,"15,00%",0
11880,"5,70%",0,"22,00%",0
11881,"28,00%",0,"5,00%",0
11882,"84,40%",0,"6,00%",0
11883,"59,80%",1,"27,00%",0
11884,"18,80%",0,"18,00%",0
11885,"18,30%",0,"16,00%",0
11886,"8,80%",0,"4,00%",0
11887,"25,80%",0,"18,00%",0
11888,"8,20%",0,"16,00%",0
11889,"63,90%",1,"33,00%",1
11890,"58,80%",0,"31,00%",0
11891,"3,90%",0,"22,00%",0
11892,"47,00%",0,"74,00%",1
11893,"56,80%",1,"39,00%",1
11894,"9,40%",2,"45,00%",0
11895,"42,00%",1,"24,00%",0
11896,"34,60%",0,"41,00%",0
11897,"26,10%",0,"11,00%",0
11898,"76,10%",2,"46,00%",1
11899,"8,80%",0,"3,00%",0
11900,"1,20%",0,"3,00%",0
11901,"70,40%",3,"30,00%",0
11902,"83,30%",1,"51,00%",1
11903,"92,10%",3,"44,00%",1
11904,"18,80%",0,"22,00%",0
11905,"14,00%",0,"18,00%",0
11906,"31,90%",0,"5,00%",0
11907,"21,50%",4,"22,00%",0
11908,"2,40%",0,"35,00%",0
11909,"91,00%",1,"30,00%",0
11910,"49,50%",0,"9,00%",0
11911,"18,40%",0,"19,00%",0
11912,"18,10%",1,"30,00%",1
11913,"27,80%",0,"33,00%",1
11914,"5,40%",1,"36,00%",0
11915,"17,60%",0,"23,00%",0
11916,"37,60%",0,"36,00%",0
11917,"13,00%",0,"20,00%",0
11918,"64,20%",1,"10,00%",0
11919,"81,40%",1,"25,00%",0
11920,"28,90%",0,"20,00%",0
11921,"3,90%",0,"40,00%",0
11922,"61,40%",1,"16,00%",0
11923,"68,30%",2,"34,00%",0
11924,"71,80%",2,"37,00%",1
11925,"90,00%",0,"59,00%",1
11926,"45,70%",1,"19,00%",0
11927,"51,60%",4,"11,00%",0
11928,"28,80%",1,"42,00%",0
11929,"39,30%",0,"35,00%",0
11930,"71,70%",1,"32,00%",0
11931,"20,20%",2,"22,00%",0
11932,"18,70%",0,"20,00%",0
11933,"43,50%",0,"1,00%",0
11934,"27,00%",0,"23,00%",0
11935,"70,60%",1,"38,00%",0
11936,"89,80%",2,"43,00%",0
11937,"49,80%",0,"16,00%",0
11938,"66,70%",0,"27,00%",0
11939,"86,90%",1,"56,00%",0
11940,"41,30%",1,"18,00%",0
11941,"13,20%",0,"29,00%",0
11942,"65,00%",3,"26,00%",0
11943,"72,40%",0,"3,00%",0
11944,"57,50%",2,"27,00%",1
11945,"70,70%",2,"20,00%",1
11946,"14,60%",1,"62,00%",0
11947,"23,60%",0,"6,00%",0
11948,"9,70%",2,"42,00%",0
11949,"29,60%",3,"21,00%",1
11950,"60,30%",2,"34,00%",0
11951,"74,90%",1,"46,00%",0
11952,"6,70%",1,"25,00%",0
11953,"47,10%",0,"15,00%",0
11954,"2,00%",0,"7,00%",0
11955,"39,50%",2,"2,00%",0
11956,"45,00%",2,"66,00%",1
11957,"54,60%",0,"7,00%",0
11958,"48,10%",2,"21,00%",1
11959,"11,90%",0,"19,00%",0
11960,"13,70%",0,"27,00%",0
11961,"50,80%",0,"31,00%",1
11962,"11,70%",0,"52,00%",0
11963,"41,30%",0,"29,00%",0
11964,"10,10%",0,"12,00%",0
11965,"86,70%",1,"28,00%",0
11966,"46,10%",4,"45,00%",1
11967,"3,80%",0,"25,00%",0
11968,"5,90%",0,"7,00%",0
11969,"4,70%",2,"23,00%",0
11970,"73,20%",2,"33,00%",1
11971,"57,80%",0,"28,00%",0
11972,"41,20%",0,"9,00%",0
11973,"36,90%",0,"47,00%",0
11974,"78,10%",1,"46,00%",1
11975,"67,40%",0,"45,00%",0
11976,"45,90%",0,"30,00%",0
11977,"30,80%",0,"29,00%",0
11978,"42,20%",0,"3,00%",0
11979,"16,60%",0,"50,00%",0
11980,"62,20%",0,"34,00%",1
11981,"87,00%",0,"43,00%",1
11982,"44,30%",0,"14,00%",0
11983,"12,70%",0,"27,00%",1
11984,"74,50%",1,"39,00%",0
11985,"9,70%",0,"16,00%",0
11986,"2,20%",1,"16,00%",0
11987,"26,10%",0,"27,00%",0
11988,"64,90%",0,"30,00%",0
11989,"15,30%",1,"10,00%",0
11990,"64,00%",3,"48,00%",0
11991,"12,40%",0,"15,00%",0
11992,"29,40%",0,"37,00%",0
11993,"55,10%",1,"18,00%",0
11994,"14,40%",2,"46,00%",0
11995,"83,10%",2,"52,00%",1
11996,"38,70%",2,"11,00%",1
11997,"82,90%",2,"43,00%",1
11998,"41,80%",0,"41,00%",1
11999,"0,50%",0,"9,00%",0
12000,"8,30%",0,"20,00%",0
12001,"33,00%",0,"27,00%",0
12002,"57,30%",0,"19,00%",0
12003,"36,30%",0,"75,00%",1
12004,"53,70%",0,"12,00%",0
12005,"32,70%",0,"20,00%",0
12006,"5,20%",0,"42,00%",0
12007,"63,60%",0,"18,00%",0
12008,"0,90%",0,"11,00%",0
12009,"84,80%",1,"39,00%",1
12010,"29,90%",2,"8,00%",0
12011,"77,90%",1,"26,00%",1
12012,"23,70%",0,"28,00%",0
12013,"85,00%",4,"38,00%",1
12014,"61,80%",2,"40,00%",0
12015,"9,30%",0,"24,00%",0
12016,"36,50%",0,"53,00%",0
12017,"45,50%",1,"51,00%",1
12018,"10,90%",0,"15,00%",0
12019,"38,00%",0,"13,00%",0
12020,"35,00%",0,"30,00%",0
12021,"7,60%",0,"29,00%",0
12022,"36,20%",0,"58,00%",0
12023,"17,90%",0,"2,00%",0
12024,"36,90%",4,"20,00%",0
12025,"76,70%",2,"1,00%",0
12026,"65,70%",1,"20,00%",0
12027,"30,20%",0,"47,00%",0
12028,"15,00%",0,"42,00%",0
12029,"10,70%",0,"24,00%",0
12030,"72,30%",0,"47,00%",0
12031,"4,80%",0,"29,00%",0
12032,"29,60%",0,"24,00%",0
12033,"22,50%",0,"41,00%",0
12034,"42,60%",0,"33,00%",0
12035,"32,60%",0,"26,00%",0
12036,"19,20%",0,"29,00%",0
12037,"7,40%",0,"2,00%",0
12038,"10,60%",0,"41,00%",0
12039,"33,60%",0,"60,00%",1
12040,"35,20%",0,"27,00%",0
12041,"75,40%",3,"42,00%",0
12042,"14,00%",0,"20,00%",0
12043,"55,70%",1,"39,00%",1
12044,"45,00%",4,"8,00%",0
12045,"21,30%",1,"23,00%",0
12046,"55,80%",2,"41,00%",1
12047,"8,80%",0,"25,00%",0
12048,"11,40%",0,"12,00%",0
12049,"76,40%",1,"10,00%",0
12050,"33,20%",1,"34,00%",1
12051,"48,00%",0,"23,00%",0
12052,"66,40%",0,"22,00%",0
12053,"81,90%",0,"19,00%",0
12054,"18,40%",0,"46,00%",0
12055,"26,70%",0,"37,00%",0
12056,"50,00%",2,"15,00%",0
12057,"5,00%",0,"37,00%",0
12058,"72,20%",0,"5,00%",0
12059,"13,10%",0,"28,00%",0
12060,"22,80%",0,"21,00%",0
12061,"8,70%",0,"15,00%",0
12062,"71,80%",4,"26,00%",1
12063,"9,00%",0,"14,00%",0
12064,"10,20%",0,"24,00%",0
12065,"23,60%",1,"12,00%",0
12066,"46,50%",0,"17,00%",1
12067,"16,40%",1,"17,00%",0
12068,"8,30%",0,"4,00%",0
12069,"18,50%",0,"37,00%",0
12070,"5,30%",0,"18,00%",0
12071,"43,80%",1,"43,00%",0
12072,"61,30%",0,"56,00%",0
12073,"16,40%",0,"59,00%",1
12074,"63,90%",2,"51,00%",0
12075,"13,10%",0,"43,00%",0
12076,"81,60%",0,"3,00%",0
12077,"80,70%",1,"14,00%",0
12078,"75,00%",3,"70,00%",1
12079,"81,70%",2,"56,00%",1
12080,"2,20%",0,"20,00%",0
12081,"27,80%",0,"39,00%",0
12082,"81,40%",3,"65,00%",1
12083,"21,50%",0,"15,00%",0
12084,"30,20%",0,"17,00%",0
12085,"27,80%",0,"2,00%",0
12086,"73,10%",0,"45,00%",1
12087,"41,80%",0,"14,00%",0
12088,"10,70%",0,"34,00%",0
12089,"26,40%",0,"18,00%",1
12090,"20,00%",3,"22,00%",0
12091,"8,10%",1,"42,00%",0
12092,"57,90%",0,"28,00%",0
12093,"8,70%",0,"2,00%",0
12094,"96,50%",3,"25,00%",1
12095,"5,40%",0,"18,00%",0
12096,"79,30%",0,"19,00%",0
12097,"18,90%",1,"15,00%",0
12098,"65,20%",2,"43,00%",1
12099,"15,50%",0,"4,00%",0
12100,"81,10%",0,"59,00%",1
12101,"17,70%",0,"4,00%",0
12102,"5,40%",0,"1,00%",0
12103,"38,60%",2,"27,00%",1
12104,"70,40%",0,"3,00%",0
12105,"14,80%",3,"38,00%",1
12106,"78,30%",1,"24,00%",1
12107,"5,50%",0,"38,00%",0
12108,"48,00%",2,"14,00%",0
12109,"69,40%",0,"1,00%",0
12110,"76,90%",2,"37,00%",1
12111,"8,30%",1,"34,00%",0
12112,"50,10%",1,"21,00%",1
12113,"75,70%",1,"26,00%",0
12114,"6,70%",0,"9,00%",0
12115,"9,00%",0,"3,00%",0
12116,"26,30%",0,"73,00%",1
12117,"12,40%",0,"36,00%",0
12118,"61,70%",1,"30,00%",0
12119,"1,20%",0,"6,00%",0
12120,"57,10%",2,"57,00%",1
12121,"25,90%",1,"14,00%",0
12122,"5,70%",0,"3,00%",0
12123,"83,10%",2,"37,00%",1
12124,"89,70%",6,"43,00%",1
12125,"41,50%",0,"16,00%",0
12126,"81,00%",3,"83,00%",1
12127,"4,90%",0,"20,00%",0
12128,"4,70%",0,"14,00%",0
12129,"83,20%",1,"13,00%",1
12130,"62,60%",2,"27,00%",0
12131,"47,90%",0,"24,00%",1
12132,"24,60%",2,"22,00%",0
12133,"8,20%",0,"44,00%",0
12134,"5,00%",1,"26,00%",0
12135,"6,90%",1,"32,00%",0
12136,"70,20%",0,"6,00%",0
12137,"8,70%",0,"34,00%",0
12138,"28,10%",1,"28,00%",0
12139,"10,70%",0,"38,00%",0
12140,"22,40%",0,"4,00%",0
12141,"65,70%",0,"7,00%",0
12142,"4,20%",0,"25,00%",0
12143,"7,40%",3,"1,00%",0
12144,"8,00%",0,"51,00%",0
12145,"50,60%",0,"14,00%",0
12146,"20,10%",1,"24,00%",0
12147,"14,10%",0,"18,00%",0
12148,"26,00%",0,"35,00%",0
12149,"35,90%",0,"9,00%",0
12150,"16,10%",0,"40,00%",0
12151,"74,90%",1,"17,00%",0
12152,"81,30%",1,"11,00%",0
12153,"28,70%",1,"15,00%",0
12154,"32,40%",1,"56,00%",1
12155,"41,20%",0,"17,00%",0
12156,"76,10%",1,"46,00%",1
12157,"13,50%",0,"10,00%",0
12158,"6,70%",0,"28,00%",0
12159,"26,90%",1,"26,00%",0
12160,"37,20%",1,"7,00%",0
12161,"92,20%",4,"42,00%",1
12162,"30,40%",1,"42,00%",1
12163,"33,30%",2,"13,00%",0
12164,"47,60%",0,"30,00%",0
12165,"12,40%",2,"51,00%",0
12166,"9,80%",2,"14,00%",0
12167,"2,50%",0,"44,00%",0
12168,"85,80%",2,"53,00%",0
12169,"21,80%",0,"1,00%",0
12170,"22,20%",0,"27,00%",0
12171,"10,70%",0,"47,00%",1
12172,"90,00%",2,"34,00%",0
12173,"9,70%",0,"15,00%",0
12174,"41,60%",0,"60,00%",0
12175,"60,60%",0,"18,00%",0
12176,"29,30%",1,"9,00%",0
12177,"41,80%",0,"5,00%",0
12178,"11,70%",1,"15,00%",0
12179,"30,90%",0,"20,00%",0
12180,"71,50%",4,"31,00%",0
12181,"9,80%",3,"10,00%",0
12182,"44,60%",0,"15,00%",1
12183,"6,80%",0,"41,00%",0
12184,"9,50%",0,"14,00%",0
12185,"14,90%",3,"49,00%",0
12186,"27,00%",1,"12,00%",0
12187,"27,30%",0,"45,00%",0
12188,"16,60%",0,"24,00%",0
12189,"24,40%",2,"23,00%",1
12190,"74,00%",2,"64,00%",1
12191,"16,70%",0,"48,00%",0
12192,"23,30%",0,"15,00%",0
12193,"80,60%",1,"37,00%",1
12194,"66,10%",0,"2,00%",0
12195,"33,10%",0,"9,00%",0
12196,"47,60%",1,"18,00%",0
12197,"34,60%",2,"16,00%",0
12198,"15,60%",0,"5,00%",0
12199,"45,10%",1,"30,00%",1
12200,"4,40%",0,"35,00%",0
12201,"1,80%",2,"26,00%",0
12202,"58,20%",1,"16,00%",0
12203,"14,40%",0,"14,00%",0
12204,"62,50%",3,"44,00%",0
12205,"46,60%",0,"25,00%",0
12206,"66,20%",2,"11,00%",0
12207,"58,90%",0,"25,00%",0
12208,"5,60%",0,"43,00%",0
12209,"17,60%",0,"43,00%",0
12210,"8,50%",0,"29,00%",0
12211,"3,50%",0,"32,00%",0
12212,"27,10%",3,"16,00%",1
12213,"24,00%",0,"25,00%",0
12214,"21,70%",0,"60,00%",0
12215,"24,70%",0,"39,00%",0
12216,"15,40%",2,"37,00%",0
12217,"6,80%",2,"28,00%",0
12218,"16,40%",0,"15,00%",0
12219,"35,30%",3,"31,00%",0
12220,"72,40%",1,"32,00%",0
12221,"17,00%",0,"35,00%",0
12222,"70,80%",3,"0,00%",0
12223,"46,00%",0,"47,00%",1
12224,"11,10%",1,"30,00%",0
12225,"53,00%",2,"11,00%",0
12226,"30,50%",0,"4,00%",0
12227,"68,00%",2,"26,00%",0
12228,"13,10%",0,"22,00%",0
12229,"98,10%",2,"55,00%",1
12230,"79,20%",3,"31,00%",0
12231,"9,20%",0,"22,00%",0
12232,"78,80%",0,"44,00%",1
12233,"49,60%",2,"13,00%",0
12234,"23,70%",1,"27,00%",0
12235,"8,70%",0,"27,00%",0
12236,"35,30%",1,"6,00%",0
12237,"15,90%",0,"8,00%",0
12238,"7,90%",0,"27,00%",0
12239,"75,70%",0,"34,00%",0
12240,"14,10%",1,"3,00%",0
12241,"60,90%",0,"30,00%",1
12242,"19,60%",0,"17,00%",0
12243,"2,30%",0,"10,00%",0
12244,"23,10%",1,"20,00%",0
12245,"66,00%",3,"30,00%",1
12246,"78,10%",1,"7,00%",0
12247,"46,70%",0,"7,00%",0
12248,"7,40%",0,"31,00%",1
12249,"31,20%",0,"12,00%",0
12250,"13,10%",0,"2,00%",0
12251,"72,60%",2,"27,00%",1
12252,"89,10%",1,"24,00%",0
12253,"41,60%",2,"16,00%",0
12254,"47,30%",0,"67,00%",0
12255,"0,80%",0,"8,00%",0
12256,"25,10%",0,"36,00%",0
12257,"35,50%",1,"22,00%",1
12258,"63,40%",0,"52,00%",0
12259,"23,50%",0,"64,00%",0
12260,"22,10%",0,"38,00%",0
12261,"21,40%",0,"40,00%",0
12262,"16,20%",0,"20,00%",0
12263,"85,80%",0,"12,00%",0
12264,"13,50%",1,"21,00%",0
12265,"21,10%",1,"8,00%",0
12266,"7,10%",2,"33,00%",1
12267,"39,10%",2,"38,00%",1
12268,"11,50%",0,"4,00%",0
12269,"69,40%",4,"47,00%",1
12270,"58,40%",0,"6,00%",0
12271,"15,80%",0,"18,00%",0
12272,"63,90%",0,"30,00%",0
12273,"56,40%",0,"9,00%",0
12274,"48,10%",3,"36,00%",0
12275,"5,90%",0,"17,00%",0
12276,"50,10%",2,"19,00%",0
12277,"54,60%",2,"56,00%",1
12278,"52,00%",3,"50,00%",1
12279,"24,50%",0,"26,00%",0
12280,"64,70%",0,"42,00%",0
12281,"28,90%",1,"33,00%",0
12282,"7,60%",0,"24,00%",0
12283,"65,40%",0,"17,00%",0
12284,"53,20%",0,"28,00%",1
12285,"55,00%",0,"15,00%",0
12286,"83,70%",3,"14,00%",0
12287,"32,70%",2,"8,00%",0
12288,"17,00%",2,"51,00%",0
12289,"5,50%",0,"17,00%",0
12290,"6,70%",0,"28,00%",0
12291,"0,70%",0,"37,00%",0
12292,"11,80%",0,"38,00%",0
12293,"83,40%",3,"8,00%",0
12294,"34,60%",1,"48,00%",0
12295,"32,00%",0,"7,00%",0
12296,"28,10%",0,"26,00%",0
12297,"78,00%",2,"9,00%",1
12298,"69,10%",1,"53,00%",0
12299,"41,20%",1,"34,00%",0
12300,"65,40%",1,"26,00%",0
12301,"53,00%",0,"4,00%",0
12302,"29,70%",1,"36,00%",0
12303,"67,70%",1,"44,00%",0
12304,"9,00%",0,"5,00%",0
12305,"82,90%",3,"17,00%",0
12306,"7,80%",0,"12,00%",0
12307,"11,00%",1,"63,00%",0
12308,"34,30%",0,"41,00%",0
12309,"2,90%",0,"26,00%",0
12310,"23,80%",0,"57,00%",0
12311,"14,40%",0,"2,00%",0
12312,"2,10%",0,"24,00%",0
12313,"47,60%",0,"47,00%",1
12314,"82,90%",2,"40,00%",0
12315,"68,80%",0,"52,00%",1
12316,"12,40%",2,"34,00%",0
12317,"10,60%",0,"44,00%",1
12318,"18,20%",0,"35,00%",0
12319,"18,50%",0,"7,00%",0
12320,"63,80%",1,"45,00%",0
12321,"50,10%",2,"38,00%",0
12322,"28,40%",1,"25,00%",0
12323,"0,60%",0,"25,00%",0
12324,"75,00%",0,"38,00%",0
12325,"4,50%",0,"12,00%",0
12326,"3,80%",0,"20,00%",0
12327,"12,30%",1,"24,00%",0
12328,"53,50%",0,"18,00%",0
12329,"13,40%",0,"27,00%",0
12330,"94,60%",1,"54,00%",1
12331,"4,40%",0,"21,00%",0
12332,"26,10%",0,"38,00%",0
12333,"33,70%",0,"37,00%",0
12334,"0,00%",0,"5,00%",0
12335,"10,40%",1,"26,00%",0
12336,"75,30%",2,"32,00%",0
12337,"8,20%",0,"21,00%",0
12338,"24,90%",0,"29,00%",0
12339,"7,40%",3,"13,00%",0
12340,"61,40%",1,"41,00%",1
12341,"16,20%",0,"30,00%",0
12342,"30,00%",3,"27,00%",0
12343,"33,40%",2,"20,00%",0
12344,"9,50%",0,"34,00%",0
12345,"38,00%",0,"14,00%",0
12346,"50,60%",0,"11,00%",0
12347,"9,30%",1,"7,00%",0
12348,"7,20%",0,"16,00%",0
12349,"36,60%",0,"6,00%",0
12350,"20,00%",0,"28,00%",1
12351,"46,50%",1,"2,00%",0
12352,"22,90%",1,"8,00%",1
12353,"64,40%",3,"29,00%",1
12354,"28,80%",0,"34,00%",0
12355,"27,10%",1,"29,00%",0
12356,"9,20%",1,"4,00%",0
12357,"33,30%",1,"28,00%",1
12358,"20,40%",0,"19,00%",0
12359,"10,90%",0,"13,00%",0
12360,"9,20%",0,"25,00%",0
12361,"56,90%",1,"17,00%",0
12362,"1,90%",1,"32,00%",0
12363,"6,50%",1,"3,00%",0
12364,"55,90%",0,"33,00%",0
12365,"79,20%",1,"10,00%",0
12366,"78,70%",0,"13,00%",1
12367,"29,90%",4,"27,00%",0
12368,"93,00%",7,"75,00%",1
12369,"56,20%",2,"41,00%",1
12370,"68,90%",0,"44,00%",1
12371,"71,80%",1,"21,00%",0
12372,"5,90%",0,"3,00%",0
12373,"55,10%",1,"12,00%",0
12374,"41,10%",0,"52,00%",1
12375,"37,30%",0,"21,00%",0
12376,"6,80%",0,"22,00%",0
12377,"67,00%",1,"32,00%",0
12378,"88,80%",5,"40,00%",1
12379,"50,70%",2,"40,00%",1
12380,"42,70%",1,"34,00%",0
12381,"8,20%",1,"3,00%",0
12382,"97,80%",2,"66,00%",0
12383,"10,10%",0,"25,00%",0
12384,"56,80%",0,"38,00%",1
12385,"33,90%",3,"13,00%",0
12386,"30,90%",1,"56,00%",1
12387,"6,80%",0,"38,00%",0
12388,"56,30%",2,"46,00%",1
12389,"26,40%",1,"23,00%",0
12390,"74,10%",1,"14,00%",0
12391,"21,60%",0,"63,00%",1
12392,"54,30%",0,"23,00%",0
12393,"10,50%",0,"25,00%",0
12394,"14,20%",0,"27,00%",0
12395,"69,10%",1,"0,00%",0
12396,"15,50%",0,"1,00%",0
12397,"76,60%",3,"45,00%",1
12398,"12,90%",0,"7,00%",0
12399,"31,90%",0,"17,00%",0
12400,"79,30%",0,"63,00%",1
12401,"10,50%",0,"30,00%",0
12402,"67,30%",2,"39,00%",1
12403,"59,00%",0,"14,00%",0
12404,"14,80%",2,"56,00%",0
12405,"9,80%",3,"37,00%",0
12406,"43,30%",1,"19,00%",0
12407,"18,40%",1,"31,00%",0
12408,"21,10%",0,"7,00%",0
12409,"3,70%",0,"4,00%",0
12410,"25,50%",0,"28,00%",0
12411,"48,60%",0,"6,00%",0
12412,"18,50%",1,"10,00%",0
12413,"27,30%",0,"11,00%",0
12414,"52,00%",1,"11,00%",0
12415,"38,70%",1,"24,00%",0
12416,"7,40%",3,"41,00%",0
12417,"40,60%",1,"25,00%",0
12418,"18,70%",0,"29,00%",0
12419,"27,30%",0,"32,00%",0
12420,"12,30%",0,"33,00%",0
12421,"5,00%",0,"24,00%",0
12422,"43,10%",0,"30,00%",0
12423,"88,70%",4,"57,00%",1
12424,"9,20%",0,"15,00%",0
12425,"45,00%",0,"10,00%",0
12426,"11,70%",0,"3,00%",0
12427,"47,90%",0,"45,00%",0
12428,"1,80%",0,"24,00%",0
12429,"27,90%",3,"13,00%",1
12430,"10,80%",0,"8,00%",0
12431,"15,20%",4,"42,00%",1
12432,"19,70%",0,"21,00%",0
12433,"83,50%",2,"24,00%",0
12434,"79,90%",0,"40,00%",0
12435,"18,70%",1,"5,00%",0
12436,"31,00%",1,"42,00%",0
12437,"45,80%",1,"40,00%",0
12438,"7,60%",0,"19,00%",0
12439,"18,00%",0,"8,00%",0
12440,"45,10%",1,"13,00%",0
12441,"65,50%",1,"45,00%",0
